Company,Role,Description,Job Link
Atlassian,Digital Marketing Specialist,"Become part of our dynamic team as a Digital Marketing Specialist. Your background in Retargeting strategies for e-commerce, SEO keyword research and on-page optimization, Influencer outreach and partnership management, Lead generation through LinkedIn, Social media analytics with Hootsuite, Video marketing for YouTube and TikTok will enable you to contribute to strategic planning, process improvement, and the successful execution of key projects.",https://careers.atlassian.com/jobs/digital-marketing-specialist-5766
Amazon,Cybersecurity Analyst,"Seeking an experienced Cybersecurity Analyst with expertise in Cloud security for AWS and Azure, Incident response and forensics, Security policy development, Security awareness training, Encryption standards and protocols, Firewall configuration and management, Security information and event management (SIEM). You will be involved in decision-making, project management, and the implementation of best practices to ensure our continued success.",https://careers.amazon.com/jobs/cybersecurity-analyst-3189
SAP,Digital Marketing Specialist,"Our company is searching for a dedicated Digital Marketing Specialist with proven proficiency in SEO keyword research and on-page optimization, Content calendar planning and execution, Social media analytics with Hootsuite, Facebook Ads audience targeting, Conversion rate optimization (CRO), Video marketing for YouTube and TikTok, Google Analytics event tracking. You will be responsible for leading initiatives, optimizing processes, and fostering a culture of collaboration and innovation.",https://careers.sap.com/jobs/digital-marketing-specialist-7389
Pinterest,Digital Marketing Specialist,"We are looking for a Digital Marketing Specialist with a strong foundation in Google Analytics event tracking, Social media analytics with Hootsuite, Competitor analysis and benchmarking, Copywriting for landing pages and emails, Email marketing automation with Mailchimp, SEO keyword research and on-page optimization, Facebook Ads audience targeting. You will work closely with stakeholders, develop effective solutions, and support the growth and development of our organization.",https://careers.pinterest.com/jobs/digital-marketing-specialist-6545
Nokia,Software Engineer,"Become part of our dynamic team as a Software Engineer. Your background in RESTful API design and documentation, Performance profiling and memory management, Frontend development with React.js, Python and object-oriented programming, Continuous Integration with Jenkins will enable you to contribute to strategic planning, process improvement, and the successful execution of key projects.",https://careers.nokia.com/jobs/software-engineer-6620
Ericsson,Cybersecurity Analyst,"We are seeking a highly skilled Cybersecurity Analyst with extensive experience in Encryption standards and protocols, Incident response and forensics, Firewall configuration and management, Patch management and system hardening, Malware analysis and reverse engineering, Threat intelligence gathering, Compliance with GDPR and HIPAA, Cloud security for AWS and Azure. The ideal candidate will demonstrate leadership, adaptability, and a commitment to continuous improvement, contributing to innovative projects.",https://careers.ericsson.com/jobs/cybersecurity-analyst-2360
Salesforce,Project Manager,"Our company is searching for a dedicated Project Manager with proven proficiency in Vendor management and contract negotiation, Team leadership and conflict resolution, Stakeholder communication and reporting, Performance tracking with KPIs, Scope management and requirements gathering, Change management processes. You will be responsible for leading initiatives, optimizing processes, and fostering a culture of collaboration and innovation.",https://careers.salesforce.com/jobs/project-manager-7752
Google,Cybersecurity Analyst,"We are looking for a Cybersecurity Analyst with a strong foundation in Incident response and forensics, Security policy development, Cloud security for AWS and Azure, Compliance with GDPR and HIPAA, Vulnerability assessment and penetration testing, Network intrusion detection and prevention, Identity and access management (IAM), Malware analysis and reverse engineering. You will work closely with stakeholders, develop effective solutions, and support the growth and development of our organization.",https://careers.google.com/jobs/cybersecurity-analyst-7635
Palantir,Cybersecurity Analyst,"We have an exciting opportunity for a Cybersecurity Analyst who excels in Firewall configuration and management, Malware analysis and reverse engineering, Network intrusion detection and prevention, Security policy development, Threat intelligence gathering. In this role, you will manage complex tasks, mentor colleagues, and ensure the highest standards of quality, essential for achieving our ambitious goals.",https://careers.palantir.com/jobs/cybersecurity-analyst-9054
Spotify,Software Engineer,"We have an exciting opportunity for a Software Engineer who excels in Docker Compose for multi-container apps, Performance profiling and memory management, Agile Scrum team collaboration, Git branching and merging strategies, Debugging with VSCode and GDB. In this role, you will manage complex tasks, mentor colleagues, and ensure the highest standards of quality, essential for achieving our ambitious goals.",https://careers.spotify.com/jobs/software-engineer-6263
LG,Cybersecurity Analyst,"Seeking an experienced Cybersecurity Analyst with expertise in Malware analysis and reverse engineering, Vulnerability assessment and penetration testing, Patch management and system hardening, Network intrusion detection and prevention, Compliance with GDPR and HIPAA. You will be involved in decision-making, project management, and the implementation of best practices to ensure our continued success.",https://careers.lg.com/jobs/cybersecurity-analyst-1411
Microsoft,Cybersecurity Analyst,"Seeking an experienced Cybersecurity Analyst with expertise in Cloud security for AWS and Azure, Firewall configuration and management, Identity and access management (IAM), Security information and event management (SIEM), Network intrusion detection and prevention, Patch management and system hardening. You will be involved in decision-making, project management, and the implementation of best practices to ensure our continued success.",https://careers.microsoft.com/jobs/cybersecurity-analyst-4435
SpaceX,Digital Marketing Specialist,"We are seeking a highly skilled Digital Marketing Specialist with extensive experience in SEO keyword research and on-page optimization, Content calendar planning and execution, Facebook Ads audience targeting, Influencer outreach and partnership management, Social media analytics with Hootsuite, Competitor analysis and benchmarking. The ideal candidate will demonstrate leadership, adaptability, and a commitment to continuous improvement, contributing to innovative projects.",https://careers.spacex.com/jobs/digital-marketing-specialist-2545
Google,Cybersecurity Analyst,"We have an exciting opportunity for a Cybersecurity Analyst who excels in Security policy development, Patch management and system hardening, Incident response and forensics, Cloud security for AWS and Azure, Compliance with GDPR and HIPAA. In this role, you will manage complex tasks, mentor colleagues, and ensure the highest standards of quality, essential for achieving our ambitious goals.",https://careers.google.com/jobs/cybersecurity-analyst-6718
Dell,Digital Marketing Specialist,"Our company is searching for a dedicated Digital Marketing Specialist with proven proficiency in Conversion rate optimization (CRO), Google Ads campaign setup and A/B testing, Video marketing for YouTube and TikTok, Social media analytics with Hootsuite, Retargeting strategies for e-commerce, Competitor analysis and benchmarking, Copywriting for landing pages and emails, Facebook Ads audience targeting. You will be responsible for leading initiatives, optimizing processes, and fostering a culture of collaboration and innovation.",https://careers.dell.com/jobs/digital-marketing-specialist-8970
Nokia,Software Engineer,"As a Software Engineer, you will leverage your experience in Java SpringBoot microservices, SQL query optimization for PostgreSQL, Python and object-oriented programming, Unit testing with pytest, Frontend development with React.js, RESTful API design and documentation, Agile Scrum team collaboration to solve challenging problems and drive impactful change. We value proactive, detail-oriented professionals passionate about making a difference.",https://careers.nokia.com/jobs/software-engineer-9250
Snap Inc.,Digital Marketing Specialist,"Our company is searching for a dedicated Digital Marketing Specialist with proven proficiency in Retargeting strategies for e-commerce, Google Ads campaign setup and A/B testing, Influencer outreach and partnership management, Google Analytics event tracking, Reporting and dashboard creation, Lead generation through LinkedIn, Social media analytics with Hootsuite, Video marketing for YouTube and TikTok. You will be responsible for leading initiatives, optimizing processes, and fostering a culture of collaboration and innovation.",https://careers.snapinc.com/jobs/digital-marketing-specialist-6782
Siemens,Project Manager,"As a Project Manager, you will leverage your experience in Risk management and mitigation strategies, Remote team coordination, Quality assurance and control, Presentation to executive leadership, Performance tracking with KPIs to solve challenging problems and drive impactful change. We value proactive, detail-oriented professionals passionate about making a difference.",https://careers.siemens.com/jobs/project-manager-4925
Apple,Digital Marketing Specialist,"Our company is searching for a dedicated Digital Marketing Specialist with proven proficiency in Influencer outreach and partnership management, SEO keyword research and on-page optimization, Copywriting for landing pages and emails, Lead generation through LinkedIn, Retargeting strategies for e-commerce, Video marketing for YouTube and TikTok. You will be responsible for leading initiatives, optimizing processes, and fostering a culture of collaboration and innovation.",https://careers.apple.com/jobs/digital-marketing-specialist-3778
Snowflake,Cybersecurity Analyst,"We are looking for a Cybersecurity Analyst with a strong foundation in Security awareness training, Encryption standards and protocols, Malware analysis and reverse engineering, Security information and event management (SIEM), Identity and access management (IAM), Risk analysis and mitigation, Cloud security for AWS and Azure, Firewall configuration and management, Network intrusion detection and prevention. You will work closely with stakeholders, develop effective solutions, and support the growth and development of our organization.",https://careers.snowflake.com/jobs/cybersecurity-analyst-1637
Apple,Project Manager,"We are seeking a highly skilled Project Manager with extensive experience in Stakeholder communication and reporting, Project planning and scheduling with MS Project, Vendor management and contract negotiation, Change management processes, Presentation to executive leadership, Risk management and mitigation strategies. The ideal candidate will demonstrate leadership, adaptability, and a commitment to continuous improvement, contributing to innovative projects.",https://careers.apple.com/jobs/project-manager-6509
Atlassian,Digital Marketing Specialist,"Our company is searching for a dedicated Digital Marketing Specialist with proven proficiency in Content calendar planning and execution, Google Ads campaign setup and A/B testing, Email marketing automation with Mailchimp, SEO keyword research and on-page optimization, Conversion rate optimization (CRO), Copywriting for landing pages and emails, Video marketing for YouTube and TikTok, Retargeting strategies for e-commerce, Google Analytics event tracking. You will be responsible for leading initiatives, optimizing processes, and fostering a culture of collaboration and innovation.",https://careers.atlassian.com/jobs/digital-marketing-specialist-3413
Workday,Cybersecurity Analyst,"As a Cybersecurity Analyst, you will leverage your experience in Identity and access management (IAM), Network intrusion detection and prevention, Vulnerability assessment and penetration testing, Risk analysis and mitigation, Malware analysis and reverse engineering, Cloud security for AWS and Azure to solve challenging problems and drive impactful change. We value proactive, detail-oriented professionals passionate about making a difference.",https://careers.workday.com/jobs/cybersecurity-analyst-9289
Oracle,Cybersecurity Analyst,"Seeking an experienced Cybersecurity Analyst with expertise in Network intrusion detection and prevention, Firewall configuration and management, Cloud security for AWS and Azure, Vulnerability assessment and penetration testing, Incident response and forensics, Security policy development. You will be involved in decision-making, project management, and the implementation of best practices to ensure our continued success.",https://careers.oracle.com/jobs/cybersecurity-analyst-7661
Apple,Software Engineer,"Join our forward-thinking organization as a Software Engineer. Candidates should possess advanced knowledge in RESTful API design and documentation, Performance profiling and memory management, Code review and static analysis tools, Linux shell scripting for automation, SQL query optimization for PostgreSQL, Java SpringBoot microservices, Agile Scrum team collaboration, strong analytical abilities, and excellent communication skills to shape our strategies and deliver outstanding results.",https://careers.apple.com/jobs/software-engineer-7367
HP,Project Manager,"Become part of our dynamic team as a Project Manager. Your background in Meeting facilitation and documentation, Remote team coordination, Risk management and mitigation strategies, Project planning and scheduling with MS Project, Resource allocation and budgeting, Agile and Waterfall methodologies, Performance tracking with KPIs, Vendor management and contract negotiation, Quality assurance and control will enable you to contribute to strategic planning, process improvement, and the successful execution of key projects.",https://careers.hp.com/jobs/project-manager-7616
Google,Digital Marketing Specialist,"Our company is searching for a dedicated Digital Marketing Specialist with proven proficiency in SEO keyword research and on-page optimization, Retargeting strategies for e-commerce, Conversion rate optimization (CRO), Content calendar planning and execution, Copywriting for landing pages and emails, Influencer outreach and partnership management, Social media analytics with Hootsuite. You will be responsible for leading initiatives, optimizing processes, and fostering a culture of collaboration and innovation.",https://careers.google.com/jobs/digital-marketing-specialist-4143
Palantir,Project Manager,"Our company is searching for a dedicated Project Manager with proven proficiency in Stakeholder communication and reporting, Resource allocation and budgeting, Presentation to executive leadership, Change management processes, Vendor management and contract negotiation, Meeting facilitation and documentation. You will be responsible for leading initiatives, optimizing processes, and fostering a culture of collaboration and innovation.",https://careers.palantir.com/jobs/project-manager-3544
IBM,Software Engineer,"We have an exciting opportunity for a Software Engineer who excels in Frontend development with React.js, Code review and static analysis tools, RESTful API design and documentation, Python and object-oriented programming, Java SpringBoot microservices, Unit testing with pytest, Debugging with VSCode and GDB, Cloud deployment on AWS, Git branching and merging strategies. In this role, you will manage complex tasks, mentor colleagues, and ensure the highest standards of quality, essential for achieving our ambitious goals.",https://careers.ibm.com/jobs/software-engineer-6240
Zoom,Digital Marketing Specialist,"As a Digital Marketing Specialist, you will leverage your experience in Video marketing for YouTube and TikTok, SEO keyword research and on-page optimization, Email marketing automation with Mailchimp, Lead generation through LinkedIn, Social media analytics with Hootsuite to solve challenging problems and drive impactful change. We value proactive, detail-oriented professionals passionate about making a difference.",https://careers.zoom.com/jobs/digital-marketing-specialist-6022
Slack,Digital Marketing Specialist,"Our company is searching for a dedicated Digital Marketing Specialist with proven proficiency in Social media analytics with Hootsuite, Competitor analysis and benchmarking, Google Ads campaign setup and A/B testing, Lead generation through LinkedIn, Content calendar planning and execution, Conversion rate optimization (CRO), Facebook Ads audience targeting, Google Analytics event tracking. You will be responsible for leading initiatives, optimizing processes, and fostering a culture of collaboration and innovation.",https://careers.slack.com/jobs/digital-marketing-specialist-1542
Oracle,Project Manager,"Become part of our dynamic team as a Project Manager. Your background in Agile and Waterfall methodologies, Team leadership and conflict resolution, Presentation to executive leadership, Resource allocation and budgeting, Stakeholder communication and reporting, Performance tracking with KPIs will enable you to contribute to strategic planning, process improvement, and the successful execution of key projects.",https://careers.oracle.com/jobs/project-manager-9976
Lyft,Project Manager,"Join our forward-thinking organization as a Project Manager. Candidates should possess advanced knowledge in Change management processes, Risk management and mitigation strategies, Performance tracking with KPIs, Vendor management and contract negotiation, Resource allocation and budgeting, strong analytical abilities, and excellent communication skills to shape our strategies and deliver outstanding results.",https://careers.lyft.com/jobs/project-manager-5570
Airbnb,Software Engineer,"Seeking an experienced Software Engineer with expertise in Debugging with VSCode and GDB, SQL query optimization for PostgreSQL, RESTful API design and documentation, Linux shell scripting for automation, Frontend development with React.js, Agile Scrum team collaboration, Cloud deployment on AWS, Java SpringBoot microservices, Continuous Integration with Jenkins. You will be involved in decision-making, project management, and the implementation of best practices to ensure our continued success.",https://careers.airbnb.com/jobs/software-engineer-5965
SpaceX,Cybersecurity Analyst,"We have an exciting opportunity for a Cybersecurity Analyst who excels in Security policy development, Network intrusion detection and prevention, Security awareness training, Risk analysis and mitigation, Cloud security for AWS and Azure, Threat intelligence gathering, Encryption standards and protocols, Compliance with GDPR and HIPAA, Malware analysis and reverse engineering. In this role, you will manage complex tasks, mentor colleagues, and ensure the highest standards of quality, essential for achieving our ambitious goals.",https://careers.spacex.com/jobs/cybersecurity-analyst-6943
Tencent,Software Engineer,"Join our forward-thinking organization as a Software Engineer. Candidates should possess advanced knowledge in Agile Scrum team collaboration, Git branching and merging strategies, Performance profiling and memory management, Code review and static analysis tools, Unit testing with pytest, Continuous Integration with Jenkins, Docker Compose for multi-container apps, RESTful API design and documentation, Java SpringBoot microservices, strong analytical abilities, and excellent communication skills to shape our strategies and deliver outstanding results.",https://careers.tencent.com/jobs/software-engineer-1912
HP,Project Manager,"Seeking an experienced Project Manager with expertise in Meeting facilitation and documentation, Resource allocation and budgeting, Change management processes, Agile and Waterfall methodologies, Risk management and mitigation strategies, Vendor management and contract negotiation. You will be involved in decision-making, project management, and the implementation of best practices to ensure our continued success.",https://careers.hp.com/jobs/project-manager-8175
Netflix,Project Manager,"Join our forward-thinking organization as a Project Manager. Candidates should possess advanced knowledge in Quality assurance and control, Project planning and scheduling with MS Project, Vendor management and contract negotiation, Agile and Waterfall methodologies, Remote team coordination, Project closure and lessons learned, Change management processes, strong analytical abilities, and excellent communication skills to shape our strategies and deliver outstanding results.",https://careers.netflix.com/jobs/project-manager-7709
Red Hat,Software Engineer,"As a Software Engineer, you will leverage your experience in Git branching and merging strategies, Python and object-oriented programming, Agile Scrum team collaboration, Java SpringBoot microservices, Continuous Integration with Jenkins, Code review and static analysis tools, Frontend development with React.js, Debugging with VSCode and GDB to solve challenging problems and drive impactful change. We value proactive, detail-oriented professionals passionate about making a difference.",https://careers.redhat.com/jobs/software-engineer-9471
Baidu,Project Manager,"We are looking for a Project Manager with a strong foundation in Agile and Waterfall methodologies, Project planning and scheduling with MS Project, Remote team coordination, Presentation to executive leadership, Resource allocation and budgeting. You will work closely with stakeholders, develop effective solutions, and support the growth and development of our organization.",https://careers.baidu.com/jobs/project-manager-1958
Zoom,Digital Marketing Specialist,"Join our forward-thinking organization as a Digital Marketing Specialist. Candidates should possess advanced knowledge in Copywriting for landing pages and emails, Content calendar planning and execution, Google Analytics event tracking, Social media analytics with Hootsuite, Facebook Ads audience targeting, Email marketing automation with Mailchimp, Reporting and dashboard creation, Video marketing for YouTube and TikTok, strong analytical abilities, and excellent communication skills to shape our strategies and deliver outstanding results.",https://careers.zoom.com/jobs/digital-marketing-specialist-3426
Sony,Cybersecurity Analyst,"Seeking an experienced Cybersecurity Analyst with expertise in Security policy development, Patch management and system hardening, Network intrusion detection and prevention, Threat intelligence gathering, Identity and access management (IAM), Vulnerability assessment and penetration testing. You will be involved in decision-making, project management, and the implementation of best practices to ensure our continued success.",https://careers.sony.com/jobs/cybersecurity-analyst-3394
Intel,Cybersecurity Analyst,"We are seeking a highly skilled Cybersecurity Analyst with extensive experience in Network intrusion detection and prevention, Security policy development, Threat intelligence gathering, Security information and event management (SIEM), Malware analysis and reverse engineering, Cloud security for AWS and Azure. The ideal candidate will demonstrate leadership, adaptability, and a commitment to continuous improvement, contributing to innovative projects.",https://careers.intel.com/jobs/cybersecurity-analyst-4150
Apple,Project Manager,"As a Project Manager, you will leverage your experience in Quality assurance and control, Performance tracking with KPIs, Remote team coordination, Meeting facilitation and documentation, Change management processes, Risk management and mitigation strategies, Project planning and scheduling with MS Project, Presentation to executive leadership to solve challenging problems and drive impactful change. We value proactive, detail-oriented professionals passionate about making a difference.",https://careers.apple.com/jobs/project-manager-4116
Spotify,Software Engineer,"Seeking an experienced Software Engineer with expertise in Performance profiling and memory management, Docker Compose for multi-container apps, RESTful API design and documentation, Linux shell scripting for automation, Frontend development with React.js. You will be involved in decision-making, project management, and the implementation of best practices to ensure our continued success.",https://careers.spotify.com/jobs/software-engineer-6021
Baidu,Project Manager,"Our company is searching for a dedicated Project Manager with proven proficiency in Stakeholder communication and reporting, Vendor management and contract negotiation, Resource allocation and budgeting, Risk management and mitigation strategies, Agile and Waterfall methodologies. You will be responsible for leading initiatives, optimizing processes, and fostering a culture of collaboration and innovation.",https://careers.baidu.com/jobs/project-manager-7791
Lenovo,Software Engineer,"We are looking for a Software Engineer with a strong foundation in Docker Compose for multi-container apps, Unit testing with pytest, Continuous Integration with Jenkins, Java SpringBoot microservices, SQL query optimization for PostgreSQL, RESTful API design and documentation, Python and object-oriented programming. You will work closely with stakeholders, develop effective solutions, and support the growth and development of our organization.",https://careers.lenovo.com/jobs/software-engineer-2842
HP,Project Manager,"Become part of our dynamic team as a Project Manager. Your background in Risk management and mitigation strategies, Team leadership and conflict resolution, Scope management and requirements gathering, Meeting facilitation and documentation, Quality assurance and control, Project planning and scheduling with MS Project will enable you to contribute to strategic planning, process improvement, and the successful execution of key projects.",https://careers.hp.com/jobs/project-manager-5776
Alibaba,Cybersecurity Analyst,"Our company is searching for a dedicated Cybersecurity Analyst with proven proficiency in Malware analysis and reverse engineering, Vulnerability assessment and penetration testing, Compliance with GDPR and HIPAA, Security policy development, Security awareness training, Network intrusion detection and prevention. You will be responsible for leading initiatives, optimizing processes, and fostering a culture of collaboration and innovation.",https://careers.alibaba.com/jobs/cybersecurity-analyst-5331
ASUS,Digital Marketing Specialist,"We are looking for a Digital Marketing Specialist with a strong foundation in Content calendar planning and execution, Video marketing for YouTube and TikTok, Facebook Ads audience targeting, Reporting and dashboard creation, Google Ads campaign setup and A/B testing, Social media analytics with Hootsuite, Google Analytics event tracking, Email marketing automation with Mailchimp, Competitor analysis and benchmarking. You will work closely with stakeholders, develop effective solutions, and support the growth and development of our organization.",https://careers.asus.com/jobs/digital-marketing-specialist-3688
TikTok,Software Engineer,"We are looking for a Software Engineer with a strong foundation in Code review and static analysis tools, Debugging with VSCode and GDB, Continuous Integration with Jenkins, Frontend development with React.js, Unit testing with pytest, Linux shell scripting for automation. You will work closely with stakeholders, develop effective solutions, and support the growth and development of our organization.",https://careers.tiktok.com/jobs/software-engineer-2580
ServiceNow,Software Engineer,"We are seeking a highly skilled Software Engineer with extensive experience in Git branching and merging strategies, Docker Compose for multi-container apps, Performance profiling and memory management, Agile Scrum team collaboration, Unit testing with pytest, Debugging with VSCode and GDB, Cloud deployment on AWS, Code review and static analysis tools. The ideal candidate will demonstrate leadership, adaptability, and a commitment to continuous improvement, contributing to innovative projects.",https://careers.servicenow.com/jobs/software-engineer-2917
Cisco,Project Manager,"We are looking for a Project Manager with a strong foundation in Resource allocation and budgeting, Risk management and mitigation strategies, Project closure and lessons learned, Remote team coordination, Stakeholder communication and reporting, Quality assurance and control, Team leadership and conflict resolution. You will work closely with stakeholders, develop effective solutions, and support the growth and development of our organization.",https://careers.cisco.com/jobs/project-manager-3923
Snowflake,Software Engineer,"Become part of our dynamic team as a Software Engineer. Your background in Code review and static analysis tools, Frontend development with React.js, Agile Scrum team collaboration, RESTful API design and documentation, Performance profiling and memory management, Java SpringBoot microservices, Git branching and merging strategies will enable you to contribute to strategic planning, process improvement, and the successful execution of key projects.",https://careers.snowflake.com/jobs/software-engineer-2971
Lenovo,Project Manager,"We are seeking a highly skilled Project Manager with extensive experience in Risk management and mitigation strategies, Team leadership and conflict resolution, Remote team coordination, Agile and Waterfall methodologies, Resource allocation and budgeting, Meeting facilitation and documentation, Vendor management and contract negotiation. The ideal candidate will demonstrate leadership, adaptability, and a commitment to continuous improvement, contributing to innovative projects.",https://careers.lenovo.com/jobs/project-manager-8880
Philips,Software Engineer,"Join our forward-thinking organization as a Software Engineer. Candidates should possess advanced knowledge in Debugging with VSCode and GDB, RESTful API design and documentation, Unit testing with pytest, Performance profiling and memory management, Agile Scrum team collaboration, strong analytical abilities, and excellent communication skills to shape our strategies and deliver outstanding results.",https://careers.philips.com/jobs/software-engineer-1339
Palantir,Software Engineer,"Join our forward-thinking organization as a Software Engineer. Candidates should possess advanced knowledge in Python and object-oriented programming, RESTful API design and documentation, Continuous Integration with Jenkins, Docker Compose for multi-container apps, Performance profiling and memory management, SQL query optimization for PostgreSQL, Debugging with VSCode and GDB, Unit testing with pytest, strong analytical abilities, and excellent communication skills to shape our strategies and deliver outstanding results.",https://careers.palantir.com/jobs/software-engineer-9214
Pinterest,Project Manager,"Join our forward-thinking organization as a Project Manager. Candidates should possess advanced knowledge in Risk management and mitigation strategies, Stakeholder communication and reporting, Quality assurance and control, Vendor management and contract negotiation, Presentation to executive leadership, Resource allocation and budgeting, Scope management and requirements gathering, Remote team coordination, strong analytical abilities, and excellent communication skills to shape our strategies and deliver outstanding results.",https://careers.pinterest.com/jobs/project-manager-8174
Square,Cybersecurity Analyst,"We are seeking a highly skilled Cybersecurity Analyst with extensive experience in Patch management and system hardening, Risk analysis and mitigation, Threat intelligence gathering, Network intrusion detection and prevention, Security information and event management (SIEM), Malware analysis and reverse engineering, Firewall configuration and management, Incident response and forensics. The ideal candidate will demonstrate leadership, adaptability, and a commitment to continuous improvement, contributing to innovative projects.",https://careers.square.com/jobs/cybersecurity-analyst-4668
Adobe,Cybersecurity Analyst,"Seeking an experienced Cybersecurity Analyst with expertise in Cloud security for AWS and Azure, Malware analysis and reverse engineering, Patch management and system hardening, Incident response and forensics, Risk analysis and mitigation, Compliance with GDPR and HIPAA. You will be involved in decision-making, project management, and the implementation of best practices to ensure our continued success.",https://careers.adobe.com/jobs/cybersecurity-analyst-5687
Oracle,Digital Marketing Specialist,"Become part of our dynamic team as a Digital Marketing Specialist. Your background in Facebook Ads audience targeting, Google Analytics event tracking, Conversion rate optimization (CRO), SEO keyword research and on-page optimization, Email marketing automation with Mailchimp, Reporting and dashboard creation will enable you to contribute to strategic planning, process improvement, and the successful execution of key projects.",https://careers.oracle.com/jobs/digital-marketing-specialist-8672
Netflix,Cybersecurity Analyst,"Become part of our dynamic team as a Cybersecurity Analyst. Your background in Security awareness training, Encryption standards and protocols, Compliance with GDPR and HIPAA, Network intrusion detection and prevention, Security information and event management (SIEM), Incident response and forensics, Vulnerability assessment and penetration testing, Threat intelligence gathering will enable you to contribute to strategic planning, process improvement, and the successful execution of key projects.",https://careers.netflix.com/jobs/cybersecurity-analyst-9089
NVIDIA,Cybersecurity Analyst,"Our company is searching for a dedicated Cybersecurity Analyst with proven proficiency in Malware analysis and reverse engineering, Network intrusion detection and prevention, Cloud security for AWS and Azure, Security policy development, Threat intelligence gathering, Identity and access management (IAM), Encryption standards and protocols, Firewall configuration and management. You will be responsible for leading initiatives, optimizing processes, and fostering a culture of collaboration and innovation.",https://careers.nvidia.com/jobs/cybersecurity-analyst-6549
Sony,Software Engineer,"Our company is searching for a dedicated Software Engineer with proven proficiency in RESTful API design and documentation, Frontend development with React.js, Cloud deployment on AWS, Docker Compose for multi-container apps, Linux shell scripting for automation, Python and object-oriented programming, Code review and static analysis tools. You will be responsible for leading initiatives, optimizing processes, and fostering a culture of collaboration and innovation.",https://careers.sony.com/jobs/software-engineer-3407
Adobe,Cybersecurity Analyst,"Our company is searching for a dedicated Cybersecurity Analyst with proven proficiency in Security information and event management (SIEM), Security awareness training, Security policy development, Malware analysis and reverse engineering, Vulnerability assessment and penetration testing. You will be responsible for leading initiatives, optimizing processes, and fostering a culture of collaboration and innovation.",https://careers.adobe.com/jobs/cybersecurity-analyst-9634
